,Error Length,Message,Replacement,Sentence
0,7,Possible spelling mistake found.,"['Santosh', 'Santos', 'Santhosh', 'cantos', 'pantos', 'Satoshi']",...o grew Can Nikki help clinically make a santosh sell Subodh curfew from relaxed and par...
1,6,Possible spelling mistake found.,['Suborn'],...kki help clinically make a santosh sell Subodh curfew from relaxed and parlours Mayuka...
2,8,Possible spelling mistake found.,"['parlors', 'parlous', 'par lours']",...osh sell Subodh curfew from relaxed and parlours Mayuka Alert Google Critica A Champion ...
3,6,Possible spelling mistake found.,"['Maya', 'Cayuga', 'Maura', 'Mazurka', 'Mayra', 'Hanuka', 'Markka', 'Malika', 'Mauá']",...Subodh curfew from relaxed and parlours Mayuka Alert Google Critica A Champion Ministe...
4,7,Possible spelling mistake found.,"['Critical', 'Critics', 'Critic', 'Critic a']",...elaxed and parlours Mayuka Alert Google Critica A Champion Minister k P Maps about Chri...
5,6,Possible spelling mistake found.,['tom men'],...er k P Maps about Chris Santosh Machine tommen on technology CR mama Bye Now take econ...
6,4,"In some contexts, `mama` may be informal or familiar language.","['mother', 'mom']",...Santosh Machine tommen on technology CR mama Bye Now take economic. You will conside...
7,4,Possible spelling mistake found.,"['tell', 'tale', 'tile', 'Tell', 'tee', 'Pele', 'tel', 'telex', 'AELE', 'DELE', 'TEE', 'TLE', 'tole', 'Pelé']",...der hum there or app Development of the tele calls ran Market is app Download all so...
8,6,Possible spelling mistake found.,"['Shaky', 'Shaka', 'Shaky a']",...l media Marketing Khamenei aka offering Shakya or Hamill a Take a hammock A or B custo...
9,6,Possible spelling mistake found.,"['Latham', 'Langham']",...mill a Take a hammock A or B customers. Lanham helped us that there you came Ariba's a...
10,5,Possible spelling mistake found.,"['Aria', 'Aruba', 'ARIA', 'Arica']",...s. Lanham helped us that there you came Ariba's already trained field marketers Or te...
11,2,Possible spelling mistake found.,"['app', 'up', 'AP', 'a', 'as', 'at', 'an', 'am', 'eye', 'map', 'ad', 'cap', 'gap', 'lap', 'rap', 'HP', 'tap', 'ADP', 'AF', 'APA', 'APC', 'JP', 'NP', 'SAP', 'VP', 'amp', 'ape', 'apt', 'pa', 'sap', 'APG', 'APS', 'ARP', 'FP', 'ah', 'AD', 'APD', 'APM', 'Apr', 'IAP', 'WAP', 'asp', 'av', 'ax', 'nap', 'APB', 'APN', 'mp', 'pap', 'OAP', 'alp', 'zap', 'hap', 'yap', 'ATP', 'IP', 'op', 'A', 'AA', 'AAP', 'AB', 'ABP', 'AC', 'ACP', 'AE', 'AEP', 'AG', 'AGP', 'AI', 'AIP', 'AJ', 'AJP', 'AK', 'AKP', 'AL', 'ALP', 'AM', 'AMP', 'AN', 'ANP', 'AO', 'AOP', 'APE', 'APF', 'APH', 'API', 'APJ', 'APK', 'APL', 'APO', 'APP', 'APQ', 'APR', 'APT', 'APU', 'APV', 'APW', 'APX', 'APY', 'APZ', 'AQP', 'AR', 'ASP', 'AT', 'AU', 'AUP', 'AV', 'AVP', 'AWP', 'AX', 'AXP', 'AYP', 'AZ', 'Ac', 'Ag', 'Al', 'Am', 'Ar', 'As', 'At', 'Au', 'Av', 'BAP', 'BP', 'CAP', 'DP', 'EAP', 'FAP', 'GAP', 'GP', 'Gap', 'HAP', 'JAP', 'Jap', 'KP', 'LP', 'MAP', 'MP', 'NAP', 'Np', 'P', 'PAP', 'PP', 'RAP', 'RP', 'SP', 'Sp', 'TAP', 'TP', 'UAP', 'UP', 'VAP', 'WP', 'XAP', 'XP', 'YP', 'ZAP', 'ab', 'ac', 'aw', 'bap', 'hp', 'p', 'pp', 'A&P', 'AFP', 'APs', 'CP', 'DAP', 'EP', 'ai']",...Or tell a college our addiction Me agar ap Cho a student Audiences Konica Achille ...
